"id";"max_id_str";"id_str";"count";"created_at";"updated_at"
782;"1415139846105014272";"2670726740";15;"2021-07-13 23:43:29";"2021-07-13 23:43:29"
783;"1415138324021399558";"25577585";15;"2021-07-13 23:43:35";"2021-07-13 23:43:35"
784;"1415138684639367172";"342994346";15;"2021-07-13 23:43:41";"2021-07-13 23:43:41"
785;"1415088487280390148";"1335942718040793091";15;"2021-07-13 23:43:47";"2021-07-13 23:43:47"
786;"1415139332428554242";"798892388366381056";15;"2021-07-13 23:43:53";"2021-07-13 23:43:53"
787;"1415088487280390148";"1335942718040793091";0;"2021-07-13 23:43:59";"2021-07-13 23:43:59"
788;"1413368258560888837";"1084783141";3;"2021-07-13 23:44:05";"2021-07-13 23:44:05"
789;"1414809882000252929";"1081389350137532416";3;"2021-07-13 23:44:11";"2021-07-13 23:44:11"
790;"1415088487280390148";"1335942718040793091";0;"2021-07-13 23:44:17";"2021-07-13 23:44:17"
791;"1415091736175595523";"127285692";15;"2021-07-13 23:44:24";"2021-07-13 23:44:24"
792;"1415088487280390148";"1335942718040793091";0;"2021-07-13 23:44:29";"2021-07-13 23:44:29"
793;"1415075353698185216";"185344587";15;"2021-07-13 23:44:35";"2021-07-13 23:44:35"
794;"1415140040833970177";"68712576";15;"2021-07-13 23:44:41";"2021-07-13 23:44:41"
795;"1415140126443835393";"40053694";15;"2021-07-13 23:44:47";"2021-07-13 23:44:47"
796;"1414809882000252929";"1081389350137532416";0;"2021-07-13 23:44:53";"2021-07-13 23:44:53"
797;"1415138864654585856";"64563165";15;"2021-07-13 23:44:59";"2021-07-13 23:44:59"
798;"1415135804863700995";"63508635";15;"2021-07-13 23:45:05";"2021-07-13 23:45:05"
799;"1415140264260214789";"155659213";15;"2021-07-13 23:45:11";"2021-07-13 23:45:11"
800;"1415140251509694464";"813286";13;"2021-07-13 23:45:17";"2021-07-13 23:45:17"
801;"1415140337782247432";"128372940";15;"2021-07-13 23:45:23";"2021-07-13 23:45:23"
802;"1413932644988080130";"33014349";7;"2021-07-13 23:45:29";"2021-07-13 23:45:29"
803;"1414809882000252929";"1081389350137532416";0;"2021-07-13 23:45:35";"2021-07-13 23:45:35"
804;"1415122883450482698";"116751115";15;"2021-07-13 23:45:41";"2021-07-13 23:45:41"
805;"";"794866608";0;"2021-07-13 23:45:47";"2021-07-13 23:45:47"
806;"1415122883450482698";"2583179096";15;"2021-07-13 23:45:53";"2021-07-13 23:45:53"
807;"";"1093329310579154944";0;"2021-07-13 23:45:59";"2021-07-13 23:45:59"
808;"1415122883450482698";"116751115";0;"2021-07-13 23:46:05";"2021-07-13 23:46:05"
809;"";"794866608";0;"2021-07-13 23:46:11";"2021-07-13 23:46:11"
810;"1415122883450482698";"2583179096";0;"2021-07-13 23:46:17";"2021-07-13 23:46:17"
811;"";"1093329310579154944";0;"2021-07-13 23:46:23";"2021-07-13 23:46:23"
812;"";"1025103133981257728";0;"2021-07-13 23:46:29";"2021-07-13 23:46:29"
813;"1415030365530599429";"2773697022";4;"2021-07-13 23:46:35";"2021-07-13 23:46:35"
814;"";"1909765362";0;"2021-07-13 23:46:41";"2021-07-13 23:46:41"
815;"1415038319713468416";"1086232379482689536";3;"2021-07-13 23:46:47";"2021-07-13 23:46:47"
816;"1415125018028220420";"1118481835376431104";11;"2021-07-13 23:46:53";"2021-07-13 23:46:53"
817;"1412781988742942726";"1095733666003800064";2;"2021-07-13 23:46:59";"2021-07-13 23:46:59"
818;"1414218528513736705";"632737286";2;"2021-07-13 23:47:05";"2021-07-13 23:47:05"
819;"1413452880409944064";"1095138301844033537";10;"2021-07-13 23:47:11";"2021-07-13 23:47:11"
820;"1415135804863700995";"63508635";0;"2021-07-13 23:47:17";"2021-07-13 23:47:17"
821;"";"2793462577";0;"2021-07-13 23:47:23";"2021-07-13 23:47:23"
822;"1413507406827450372";"231407772";8;"2021-07-13 23:47:29";"2021-07-13 23:47:29"
823;"";"167968053";0;"2021-07-13 23:47:35";"2021-07-13 23:47:35"
824;"1414690683819073538";"1177021738053525504";15;"2021-07-13 23:47:41";"2021-07-13 23:47:41"
825;"";"795228290";0;"2021-07-13 23:47:47";"2021-07-13 23:47:47"
826;"1415122883450482698";"583377940";15;"2021-07-13 23:47:54";"2021-07-13 23:47:54"
827;"1415030365530599429";"2317252641";4;"2021-07-13 23:47:59";"2021-07-13 23:47:59"
828;"1414932994540851213";"179147542";3;"2021-07-13 23:48:05";"2021-07-13 23:48:05"
829;"1414910423439134721";"323263308";7;"2021-07-13 23:48:11";"2021-07-13 23:48:11"
830;"";"133284193";0;"2021-07-13 23:48:17";"2021-07-13 23:48:17"
831;"1414995254911115264";"140480459";9;"2021-07-13 23:48:23";"2021-07-13 23:48:23"
832;"1415057649092206597";"1576755078";15;"2021-07-13 23:48:29";"2021-07-13 23:48:29"
833;"1415126301657161736";"2654800357";15;"2021-07-13 23:48:35";"2021-07-13 23:48:35"
834;"1415065964643852289";"3254270357";15;"2021-07-13 23:48:41";"2021-07-13 23:48:41"
835;"1415096233560051713";"137548563";15;"2021-07-13 23:48:47";"2021-07-13 23:48:47"
836;"1415065964643852289";"3092387621";15;"2021-07-13 23:48:53";"2021-07-13 23:48:53"
837;"1415065964643852289";"1113965533542719488";15;"2021-07-13 23:48:59";"2021-07-13 23:48:59"
838;"1415065964643852289";"25311569";15;"2021-07-13 23:49:05";"2021-07-13 23:49:05"
839;"1415138003094224901";"163165805";15;"2021-07-13 23:49:11";"2021-07-13 23:49:11"
840;"1415134621633847300";"97445850";15;"2021-07-13 23:49:17";"2021-07-13 23:49:17"
841;"1415129204010758144";"1233024544270684161";15;"2021-07-13 23:49:23";"2021-07-13 23:49:23"
842;"1415071747116867591";"948927124316008449";15;"2021-07-13 23:49:29";"2021-07-13 23:49:29"
