"id";"id_str";"last_id_str";"retweet_count";"favorite_count";"consulted_in";"createdAt";"created_at";"updated_at"
228;"2670726740";"1415326190018121728";160;1080;"2021-07-14 12:57:38";"2021-07-14 12:57:38";"2021-07-14 12:57:38";"2021-07-14 12:57:38"
229;"25577585";"1415265896352866311";11;0;"2021-07-14 12:57:40";"2021-07-14 12:57:40";"2021-07-14 12:57:40";"2021-07-14 12:57:40"
230;"342994346";"1415319362790121477";36;156;"2021-07-14 12:57:41";"2021-07-14 12:57:41";"2021-07-14 12:57:41";"2021-07-14 12:57:41"
231;"1335942718040793091";"1415335211508899840";0;6;"2021-07-14 12:57:43";"2021-07-14 12:57:43";"2021-07-14 12:57:43";"2021-07-14 12:57:43"
232;"798892388366381056";"1415326113740492801";0;1;"2021-07-14 12:57:44";"2021-07-14 12:57:44";"2021-07-14 12:57:44";"2021-07-14 12:57:44"
233;"1335942718040793091";"1415335211508899840";0;6;"2021-07-14 12:57:46";"2021-07-14 12:57:46";"2021-07-14 12:57:46";"2021-07-14 12:57:46"
234;"1084783141";"1413171907961057282";0;13;"2021-07-14 12:57:48";"2021-07-14 12:57:48";"2021-07-14 12:57:48";"2021-07-14 12:57:48"
235;"1081389350137532416";"1414737320436277250";0;1;"2021-07-14 12:57:49";"2021-07-14 12:57:49";"2021-07-14 12:57:49";"2021-07-14 12:57:49"
236;"1335942718040793091";"1415335211508899840";0;6;"2021-07-14 12:57:51";"2021-07-14 12:57:51";"2021-07-14 12:57:51";"2021-07-14 12:57:51"
237;"127285692";"1414693214649524228";1;0;"2021-07-14 12:57:52";"2021-07-14 12:57:52";"2021-07-14 12:57:52";"2021-07-14 12:57:52"
238;"1335942718040793091";"1415335211508899840";0;6;"2021-07-14 12:57:53";"2021-07-14 12:57:53";"2021-07-14 12:57:53";"2021-07-14 12:57:53"
239;"185344587";"1412892941564137476";50;1929;"2021-07-14 12:57:55";"2021-07-14 12:57:55";"2021-07-14 12:57:55";"2021-07-14 12:57:55"
240;"68712576";"1415258166221316096";2229;8725;"2021-07-14 12:57:56";"2021-07-14 12:57:56";"2021-07-14 12:57:56";"2021-07-14 12:57:56"
241;"40053694";"1415339739582976001";485;0;"2021-07-14 12:57:58";"2021-07-14 12:57:58";"2021-07-14 12:57:58";"2021-07-14 12:57:58"
242;"1081389350137532416";"1414737320436277250";0;1;"2021-07-14 12:58:00";"2021-07-14 12:58:00";"2021-07-14 12:58:00";"2021-07-14 12:58:00"
243;"64563165";"1413655491155308545";1;21;"2021-07-14 12:58:01";"2021-07-14 12:58:01";"2021-07-14 12:58:01";"2021-07-14 12:58:01"
244;"63508635";"1415301478051426304";3;0;"2021-07-14 12:58:02";"2021-07-14 12:58:02";"2021-07-14 12:58:02";"2021-07-14 12:58:02"
245;"155659213";"1414933377434767361";20015;467621;"2021-07-14 12:58:04";"2021-07-14 12:58:04";"2021-07-14 12:58:04";"2021-07-14 12:58:04"
246;"813286";"1413848757083545601";15678;149722;"2021-07-14 12:58:05";"2021-07-14 12:58:05";"2021-07-14 12:58:05";"2021-07-14 12:58:05"
247;"128372940";"1415272451420954626";2269;11949;"2021-07-14 12:58:07";"2021-07-14 12:58:07";"2021-07-14 12:58:07";"2021-07-14 12:58:07"
248;"33014349";"1413848037122838538";1;0;"2021-07-14 12:58:08";"2021-07-14 12:58:08";"2021-07-14 12:58:08";"2021-07-14 12:58:08"
249;"1081389350137532416";"1414737320436277250";0;1;"2021-07-14 12:58:10";"2021-07-14 12:58:10";"2021-07-14 12:58:10";"2021-07-14 12:58:10"
250;"116751115";"1415297901685874688";1;0;"2021-07-14 12:58:11";"2021-07-14 12:58:11";"2021-07-14 12:58:11";"2021-07-14 12:58:11"
251;"794866608";"1403811862165311488";7;11;"2021-07-14 12:58:13";"2021-07-14 12:58:13";"2021-07-14 12:58:13";"2021-07-14 12:58:13"
252;"2583179096";"1415295340828315649";0;2;"2021-07-14 12:58:14";"2021-07-14 12:58:14";"2021-07-14 12:58:14";"2021-07-14 12:58:14"
253;"1093329310579154944";"1193989163961536512";0;2;"2021-07-14 12:58:16";"2021-07-14 12:58:16";"2021-07-14 12:58:16";"2021-07-14 12:58:16"
254;"116751115";"1415297901685874688";1;0;"2021-07-14 12:58:17";"2021-07-14 12:58:17";"2021-07-14 12:58:17";"2021-07-14 12:58:17"
255;"794866608";"1403811862165311488";7;11;"2021-07-14 12:58:19";"2021-07-14 12:58:19";"2021-07-14 12:58:19";"2021-07-14 12:58:19"
256;"2583179096";"1415295340828315649";0;2;"2021-07-14 12:58:20";"2021-07-14 12:58:20";"2021-07-14 12:58:20";"2021-07-14 12:58:20"
257;"1093329310579154944";"1193989163961536512";0;2;"2021-07-14 12:58:22";"2021-07-14 12:58:22";"2021-07-14 12:58:22";"2021-07-14 12:58:22"
258;"1025103133981257728";"1323326698507636736";0;0;"2021-07-14 12:58:23";"2021-07-14 12:58:23";"2021-07-14 12:58:23";"2021-07-14 12:58:23"
259;"2773697022";"516965542134317056";0;1;"2021-07-14 12:58:25";"2021-07-14 12:58:25";"2021-07-14 12:58:25";"2021-07-14 12:58:25"
260;"1909765362";"1394790918146887682";4;0;"2021-07-14 12:58:26";"2021-07-14 12:58:26";"2021-07-14 12:58:26";"2021-07-14 12:58:26"
261;"1086232379482689536";"1415306252213702660";1;0;"2021-07-14 12:58:28";"2021-07-14 12:58:28";"2021-07-14 12:58:28";"2021-07-14 12:58:28"
262;"1118481835376431104";"1415304146689957891";0;0;"2021-07-14 12:58:29";"2021-07-14 12:58:29";"2021-07-14 12:58:29";"2021-07-14 12:58:29"
263;"1095733666003800064";"1414581160789823492";0;1;"2021-07-14 12:58:31";"2021-07-14 12:58:31";"2021-07-14 12:58:31";"2021-07-14 12:58:31"
264;"632737286";"1414538991047741441";0;0;"2021-07-14 12:58:32";"2021-07-14 12:58:32";"2021-07-14 12:58:32";"2021-07-14 12:58:32"
265;"1095138301844033537";"1414975148155883523";0;0;"2021-07-14 12:58:34";"2021-07-14 12:58:34";"2021-07-14 12:58:34";"2021-07-14 12:58:34"
266;"63508635";"1415301478051426304";3;0;"2021-07-14 12:58:35";"2021-07-14 12:58:35";"2021-07-14 12:58:35";"2021-07-14 12:58:35"
267;"2793462577";"1404819072479543296";1;0;"2021-07-14 12:58:37";"2021-07-14 12:58:37";"2021-07-14 12:58:37";"2021-07-14 12:58:37"
268;"231407772";"1346593055034519552";3;0;"2021-07-14 12:58:38";"2021-07-14 12:58:38";"2021-07-14 12:58:38";"2021-07-14 12:58:38"
269;"167968053";"25060169171";0;0;"2021-07-14 12:58:40";"2021-07-14 12:58:40";"2021-07-14 12:58:40";"2021-07-14 12:58:40"
270;"1177021738053525504";"1414684029887078409";2;3;"2021-07-14 12:58:41";"2021-07-14 12:58:41";"2021-07-14 12:58:41";"2021-07-14 12:58:41"
271;"795228290";"300133869787705344";1;0;"2021-07-14 12:58:43";"2021-07-14 12:58:43";"2021-07-14 12:58:43";"2021-07-14 12:58:43"
272;"583377940";"1412235491152433154";1;39;"2021-07-14 12:58:44";"2021-07-14 12:58:44";"2021-07-14 12:58:44";"2021-07-14 12:58:44"
273;"2317252641";"1414923376297140230";1;0;"2021-07-14 12:58:46";"2021-07-14 12:58:46";"2021-07-14 12:58:46";"2021-07-14 12:58:46"
