"id";"id_str";"followers_count";"created_at";"updated_at"
3;"131574396";6384289;"2021-07-01 20:23:47";"2021-07-01 20:23:47"
6;"131574396";6384290;"2021-07-01 20:25:47";"2021-07-01 20:25:47"
9;"131574396";6384290;"2021-07-01 20:27:47";"2021-07-01 20:27:47"
10;"131574396";6384290;"2021-07-01 20:29:47";"2021-07-01 20:29:47"
12;"2670726740";2638188;"2021-07-01 20:29:47";"2021-07-01 20:29:47"
14;"131574396";6384291;"2021-07-01 20:31:47";"2021-07-01 20:31:47"
15;"2670726740";2638154;"2021-07-01 20:31:48";"2021-07-01 20:31:48"
17;"131574396";6384292;"2021-07-01 20:33:47";"2021-07-01 20:33:47"
18;"25577585";631436;"2021-07-01 20:33:47";"2021-07-01 20:33:47"
19;"131574396";6384292;"2021-07-01 20:35:47";"2021-07-01 20:35:47"
21;"2670726740";2638157;"2021-07-01 20:35:47";"2021-07-01 20:35:47"
22;"131574396";6384292;"2021-07-01 20:37:47";"2021-07-01 20:37:47"
24;"2670726740";2638157;"2021-07-01 20:37:47";"2021-07-01 20:37:47"
27;"131574396";6384292;"2021-07-01 20:39:47";"2021-07-01 20:39:47"
28;"131574396";6384291;"2021-07-01 20:41:47";"2021-07-01 20:41:47"
30;"2670726740";2638160;"2021-07-01 20:41:47";"2021-07-01 20:41:47"
33;"131574396";6384290;"2021-07-01 20:43:47";"2021-07-01 20:43:47"
36;"131574396";6384288;"2021-07-01 20:45:47";"2021-07-01 20:45:47"
37;"131574396";6384288;"2021-07-01 20:47:47";"2021-07-01 20:47:47"
39;"25577585";631441;"2021-07-01 20:47:47";"2021-07-01 20:47:47"
41;"131574396";6384288;"2021-07-01 20:49:47";"2021-07-01 20:49:47"
42;"2670726740";2638173;"2021-07-01 20:49:47";"2021-07-01 20:49:47"
43;"131574396";6384288;"2021-07-01 20:51:47";"2021-07-01 20:51:47"
45;"25577585";631444;"2021-07-01 20:51:47";"2021-07-01 20:51:47"
46;"131574396";6384288;"2021-07-01 20:53:47";"2021-07-01 20:53:47"
48;"25577585";631445;"2021-07-01 20:53:47";"2021-07-01 20:53:47"
50;"131574396";6384287;"2021-07-01 20:55:47";"2021-07-01 20:55:47"
51;"2670726740";2638180;"2021-07-01 20:55:47";"2021-07-01 20:55:47"
54;"131574396";6384289;"2021-07-01 20:57:47";"2021-07-01 20:57:47"
57;"131574396";6384289;"2021-07-01 20:59:47";"2021-07-01 20:59:47"
59;"131574396";6384291;"2021-07-01 21:01:47";"2021-07-01 21:01:47"
60;"2670726740";2638196;"2021-07-01 21:01:47";"2021-07-01 21:01:47"
